"Image_ID","image","path.tif","folder","subfolder","ext","fileName.tif","path.txt","InstructName","SemVersion","SDMVersion","SerialNumber","DataNumber","SampleName","Format","ImageName","Directory","Date.x","Time","Media","DataSize","PixelSize","SignalName","DisplaySignalName","SEDetSetting","AcceleratingVoltage","DecelerationVoltage","DecelerationMode","Magnification","WorkingDistance","EmissionCurrent","PhotoSize","MagnificationDisplay","Vacuum","MicronMarker","SubMagnification","SubSignalName","SpecimenBias","Condencer1","ScanSpeed","CaptureSpeed_Integration","CalibrationScanSpeed","ImgEnhance","ColorMode","ColorPalette","ScreenMode","Comment","KeyWord1","KeyWord2","Condition","DataDisplayCombine","StageType","StagePositionX","StagePositionY","StagePositionR","StagePositionZ","StagePositionT","FocusDepth","DynamicFocus","TiltCompensation","ImageShiftX","ImageShiftY","RasterRotation","MagneticSample","UserName","Vacc","Mag","WD","LensMode","fileName.txt","ImageNameCheck","magCheck","AVCheck","Date.y","Formation","Age","Sample_ID","Shell_ID","Colony_ID","Genus","Species","X","binomial","ID"
"MHR.4625","4625","/home/voje-lab/Desktop/microporella/MHR.4625.tif",NA,"NONE","tif","MHR.4625.tif","/home/voje-lab/Desktop/microporella/MHR.4625.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.4625.tif","C:\Mali\Microporella\","02/21/2020","12:15:46","HD[Windows]","2560x1920",1240.234,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,40,"10822.62 um","81000 nA",1000,0,30,1000000,0,NA,"0 V",11240,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.4625",NA,NA,"Vacc 15.0kV Mag x40 WD 10.8mm LensMode 4",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0,NA,"***","15.0kV","x40","10.8mm",4,"MHR.4625.txt",TRUE,FALSE,TRUE,"2/21/2020","LCSB","Pleistocene","9.29",33,12,"Microporella","agonistes",NA,"Microporella_agonistes","9.29_33_12"
"MHR.4626","4626","/home/voje-lab/Desktop/microporella/MHR.4626.tif",NA,"NONE","tif","MHR.4626.tif","/home/voje-lab/Desktop/microporella/MHR.4626.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.4626.tif","C:\Mali\Microporella\","02/21/2020","12:17:46","HD[Windows]","2560x1920",1240.234,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,40,"10679.44 um","80000 nA",1000,0,30,1000000,0,NA,"0 V",11240,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.4626",NA,NA,"Vacc 15.0kV Mag x40 WD 10.7mm LensMode 4",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0,NA,"***","15.0kV","x40","10.7mm",4,"MHR.4626.txt",TRUE,FALSE,TRUE,"2/21/2020","LCSB","Pleistocene","9.29",33,12,"Microporella","agonistes",NA,"Microporella_agonistes","9.29_33_12"
"MHR.4827","4827","/home/voje-lab/Desktop/microporella/MHR.4827.tif",NA,"NONE","tif","MHR.4827.tif","/home/voje-lab/Desktop/microporella/MHR.4827.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.4827.tif","C:\Mali\Microporella\","04/30/2020","10:34:12","HD[Windows]","2560x1920",826.8229,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,60,"8744.93 um","80000 nA",1000,0,30,500000,0,NA,"0 V",11240,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.4827",NA,NA,"Vacc 15.0kV Mag x60 WD 8.7mm LensMode 4",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0,NA,"***","15.0kV","x60","8.7mm",4,"MHR.4827.txt",TRUE,FALSE,TRUE,"4/30/2020","LCSB","Pleistocene","9.29",16,11,"Microporella","agonistes",NA,"Microporella_agonistes","9.29_16_11"
"MHR.5026","5026","/home/voje-lab/Desktop/microporella/MHR.5026.tif",NA,"NONE","tif","MHR.5026.tif","/home/voje-lab/Desktop/microporella/MHR.5026.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.5026.tif","C:\Mali\Microporella\","06/02/2020","14:35:15","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"7569.93 um","78000 nA",1000,0,30,1000000,0,NA,"0 V",11240,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.5026",NA,NA,"Vacc 15.0kV Mag x30 WD 7.6mm LensMode 4",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0,NA,"***","15.0kV","x30","7.6mm",4,"MHR.5026.txt",TRUE,FALSE,TRUE,"6/2/2020","SHCS","Pleistocene","9.33",11,4,"Microporella","speculum",NA,"Microporella_speculum","9.33_11_4"
"MHR.6751","6751","/home/voje-lab/Desktop/microporella/MHR.6751.tif",NA,"NONE","tif","MHR.6751.tif","/home/voje-lab/Desktop/microporella/MHR.6751.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.6751.tif","C:\Mali\Microporella\","11/10/2020","10:28:22","HD[Windows]","2560x1920",1240.234,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,40,"8358.69 um","54000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.6751",NA,NA,"Vacc 15.0kV Mag x40 WD 8.4mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0,NA,"***","15.0kV","x40","8.4mm",3,"MHR.6751.txt",TRUE,FALSE,TRUE,"11/10/2020","South Taranaki","Recent","KAH 1705.Box 2",8,3,"Microporella","speculum",NA,"Microporella_speculum","KAH 1705.Box 2_8_3"
"MHR.6752","6752","/home/voje-lab/Desktop/microporella/MHR.6752.tif",NA,"NONE","tif","MHR.6752.tif","/home/voje-lab/Desktop/microporella/MHR.6752.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.6752.tif","C:\Mali\Microporella\","11/10/2020","10:30:33","HD[Windows]","2560x1920",1240.234,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,40,"8423.78 um","53000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.6752",NA,NA,"Vacc 15.0kV Mag x40 WD 8.4mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0,NA,"***","15.0kV","x40","8.4mm",3,"MHR.6752.txt",TRUE,FALSE,TRUE,"11/10/2020","South Taranaki","Recent","KAH 1705.Box 2",8,3,"Microporella","speculum",NA,"Microporella_speculum","KAH 1705.Box 2_8_3"
"MHR.7197","7197","/home/voje-lab/Desktop/microporella/MHR.7197.tif",NA,"NONE","tif","MHR.7197.tif","/home/voje-lab/Desktop/microporella/MHR.7197.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.7197.tif","C:\Mali\Microporella\","12/08/2020","10:27:56","HD[Windows]","2560x1920",1240.234,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,40,"9744.42 um","59000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.7197",NA,NA,"Vacc 15.0kV Mag x40 WD 9.7mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0,NA,"***","15.0kV","x40","9.7mm",3,"MHR.7197.txt",TRUE,FALSE,TRUE,"12/8/2020","Cook Strait","Recent","KAH 1206/11",11,2,"Microporella","speculum",NA,"Microporella_speculum","KAH 1206/11_11_2"
"MHR.7198","7198","/home/voje-lab/Desktop/microporella/MHR.7198.tif",NA,"NONE","tif","MHR.7198.tif","/home/voje-lab/Desktop/microporella/MHR.7198.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.7198.tif","C:\Mali\Microporella\","12/08/2020","10:30:26","HD[Windows]","2560x1920",1240.234,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,40,"9303.77 um","58000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.7198",NA,NA,"Vacc 15.0kV Mag x40 WD 9.3mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0,NA,"***","15.0kV","x40","9.3mm",3,"MHR.7198.txt",TRUE,FALSE,TRUE,"12/8/2020","Cook Strait","Recent","KAH 1206/11",11,2,"Microporella","speculum",NA,"Microporella_speculum","KAH 1206/11_11_2"
"MHR.8541","8541","/home/voje-lab/Desktop/microporella/MHR.8541.tif",NA,"NONE","tif","MHR.8541.tif","/home/voje-lab/Desktop/microporella/MHR.8541.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.8541.tif","C:\Mali\Microporella\","03/25/2021","09:46:44","HD[Windows]","2560x1920",826.8229,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,60,"6918.35 um","52000 nA",1000,0,30,500000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.8541",NA,NA,"Vacc 15.0kV Mag x60 WD 6.9mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0,NA,"***","15.0kV","x60","6.9mm",3,"MHR.8541.txt",TRUE,FALSE,TRUE,"3/25/2021","South Taranaki","Recent","KAH 1705.Box 12",4,4,"Microporella","discors",NA,"Microporella_discors","KAH 1705.Box 12_4_4"
"MHR.8542","8542","/home/voje-lab/Desktop/microporella/MHR.8542.tif",NA,"NONE","tif","MHR.8542.tif","/home/voje-lab/Desktop/microporella/MHR.8542.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.8542.tif","C:\Mali\Microporella\","03/25/2021","09:49:44","HD[Windows]","2560x1920",826.8229,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,60,"6801.2 um","51000 nA",1000,0,30,500000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.8542",NA,NA,"Vacc 15.0kV Mag x60 WD 6.8mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0,NA,"***","15.0kV","x60","6.8mm",3,"MHR.8542.txt",TRUE,FALSE,TRUE,"3/25/2021","South Taranaki","Recent","KAH 1705.Box 12",4,4,"Microporella","discors",NA,"Microporella_discors","KAH 1705.Box 12_4_4"
"MHR.8543","8543","/home/voje-lab/Desktop/microporella/MHR.8543.tif",NA,"NONE","tif","MHR.8543.tif","/home/voje-lab/Desktop/microporella/MHR.8543.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.8543.tif","C:\Mali\Microporella\","03/25/2021","09:51:34","HD[Windows]","2560x1920",826.8229,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,60,"6817.98 um","50000 nA",1000,0,30,500000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.8543",NA,NA,"Vacc 15.0kV Mag x60 WD 6.8mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0,NA,"***","15.0kV","x60","6.8mm",3,"MHR.8543.txt",TRUE,FALSE,TRUE,"3/25/2021","South Taranaki","Recent","KAH 1705.Box 12",4,4,"Microporella","discors",NA,"Microporella_discors","KAH 1705.Box 12_4_4"
